method,uid,dataset,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,n_miss,n_fp
SAM_litemedsam__detstats,busi_5f2389aed3,busi,,1,1,,,,,,,0.0,0.0
SAM_swin_litemedsam,busi_5f2389aed3,busi,0.6675768494606018,1,1,0.8006549757025143,0.6675768519334097,24.41003523608262,10.117479030504061,0.230425837506308,0.1957782417072605,,
SAM_swin_litemedsam__detstats,busi_5f2389aed3,busi,,1,1,,,,,,,0.0,0.0
A_box,busi_7432afad2c,busi,0.8822672963142395,1,1,0.9374516521162559,0.8822672906916277,8.0,2.7670602680058964,0.5222101841820151,0.00022104332449160034,,
A_box__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
A_otsu,busi_7432afad2c,busi,0.8341315984725952,1,1,0.9095657110417258,0.8341316118284048,14.142135623730951,3.9985767435663218,0.4218846525478766,0.05316091954022988,,
A_otsu__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
A_otsu_fb,busi_7432afad2c,busi,0.8341315984725952,1,1,0.9095657110417258,0.8341316118284048,14.142135623730951,3.9985767435663218,0.4218846525478766,0.05316091954022988,,
A_otsu_fb__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
A_select,busi_7432afad2c,busi,0.8341315984725952,1,1,0.9095657110417258,0.8341316118284048,14.142135623730951,3.9985767435663218,0.4218846525478766,0.05316091954022988,,
A_select__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_7432afad2c,busi,0.9091380834579468,1,1,0.9524068238617842,0.9091380562182346,5.0,2.0450016869283654,0.6346516562536838,0.03426171529619806,,
B_seg__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_7432afad2c,busi,0.8774404525756836,1,1,0.9347198780421409,0.877440457937238,7.0710678118654755,2.897660737551959,0.437345843694315,0.02995137046861185,,
SAM_edgesam__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
SAM_litemedsam,busi_7432afad2c,busi,0.8689244389533997,1,1,0.9298657718120805,0.8689244277202884,10.44030650891055,3.1244607646277878,0.4996969959310883,0.023872679045092837,,
SAM_litemedsam__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
SAM_swin_litemedsam,busi_7432afad2c,busi,0.5900391340255737,1,1,0.7421693338804541,0.5900391474554154,25.0,13.208892204783867,0.07511737089201878,0.4240716180371353,,
SAM_swin_litemedsam__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
A_box,busi_98197bf517,busi,0.9016736149787903,1,4,0.9482948294829483,0.9016736401673641,4.036931687685293,1.3378727460066635,0.7559894202880032,0.05353319057815846,,
A_box__detstats,busi_98197bf517,busi,,1,4,,,,,,,0.0,3.0
A_otsu,busi_98197bf517,busi,0.9175401926040649,1,4,0.956997084548105,0.9175401816911251,3.1622776601683795,1.111967816742037,0.8519818924588716,0.04139900071377588,,
A_otsu__detstats,busi_98197bf517,busi,,1,4,,,,,,,0.0,3.0
A_otsu_fb,busi_98197bf517,busi,0.9175401926040649,1,4,0.956997084548105,0.9175401816911251,3.1622776601683795,1.111967816742037,0.8519818924588716,0.04139900071377588,,
A_otsu_fb__detstats,busi_98197bf517,busi,,1,4,,,,,,,0.0,3.0
A_select,busi_98197bf517,busi,0.9175401926040649,1,4,0.956997084548105,0.9175401816911251,3.1622776601683795,1.111967816742037,0.8519818924588716,0.04139900071377588,,
A_select__detstats,busi_98197bf517,busi,,1,4,,,,,,,0.0,3.0
B_seg,busi_98197bf517,busi,0.0,1,2,0.0,0.0,,,0.0,,,
B_seg__detstats,busi_98197bf517,busi,,1,2,,,,,,,1.0,2.0
SAM_edgesam,busi_98197bf517,busi,0.8872861266136169,1,4,0.9402772840383932,0.8872861455887286,4.242640687119285,1.6130591432522308,0.7335845200842965,0.007851534618129907,,
SAM_edgesam__detstats,busi_98197bf517,busi,,1,4,,,,,,,0.0,3.0
SAM_litemedsam,busi_98197bf517,busi,0.8761032819747925,1,4,0.9339606203171285,0.8761033017325923,3.605551275463989,1.8176738473752347,0.6174137696596111,0.048179871520342615,,
SAM_litemedsam__detstats,busi_98197bf517,busi,,1,4,,,,,,,0.0,3.0
