uid,dataset,otsu_iou,otsu+ref_iou,box_iou,box+ref_iou,mvp_iou,mvp+ref_iou
ddti_56e6cc05a6,ddti,0.6441682600382409,0.7033826279109298,0.7131656804733728,0.7589604212671989,0.7033826279109298,0.7033826279109298
ddti_c835c6acf9,ddti,0.15319060486385366,0.4009137296784146,0.565543710021322,0.6471867892811233,0.6471867892811233,0.6471867892811233
ddti_d02b6359c9,ddti,0.8435480276353912,0.8966689326988443,0.7212148685403446,0.8597175984387556,0.8435480276353912,0.8966689326988443
ddti_c066535241,ddti,0.10135260329812859,0.247624513742746,0.8081236562263931,0.7492107819329772,0.8081236562263931,0.7492107819329772
ddti_d9658bd3e1,ddti,0.18036109064112013,0.38412142440163455,0.6000604138347682,0.5993607821018988,0.5993607821018988,0.5993607821018988
ddti_b8dcef923d,ddti,0.36566820276497697,0.5553536151718689,0.5866263487045564,0.6003410588326487,0.5866263487045564,0.6003410588326487
ddti_22ffb08a0b,ddti,0.5947617593158216,0.7408533389244155,0.5917209020735583,0.7325759901750076,0.5947617593158216,0.7408533389244155
ddti_a517b62f3e,ddti,0.48661708276090765,0.5874063126781379,0.7716682993313173,0.8729636591478697,0.8729636591478697,0.8729636591478697
ddti_1b0bfd8a9f,ddti,0.7056384742951907,0.7113268608414239,0.6979056979056979,0.7481296758104738,0.7481296758104738,0.7481296758104738
ddti_cfa286754f,ddti,0.6424523441524987,0.7428571428571429,0.7042376583660988,0.8248686514886164,0.6424523441524987,0.7428571428571429
ddti_9a98bb878f,ddti,0.5967693688303919,0.8245884278424954,0.6532287891116206,0.8238658777120316,0.5967693688303919,0.8245884278424954
ddti_ade13232ad,ddti,0.7407903549899532,0.8905109489051095,0.7744198596869941,0.8695073235685752,0.8695073235685752,0.8695073235685752
ddti_7c4903c6a3,ddti,0.5721617223682564,0.575588920528087,0.62284276126558,0.5331875482377154,0.62284276126558,0.5331875482377154
ddti_8c5641ea57,ddti,0.678791815524521,0.7660950661853189,0.6770901106050748,0.754255678256257,0.6770901106050748,0.754255678256257
ddti_54dd2b4e84,ddti,0.4225274116734965,0.6146133456263686,0.7754334656360977,0.7383296652380401,0.7754334656360977,0.7383296652380401
ddti_6410446b09,ddti,0.6710176645302486,0.8308415924743827,0.7601201358056934,0.8695945376380342,0.8695945376380342,0.8695945376380342
ddti_3ab69060ab,ddti,0.39414523693999676,0.53731049419177,0.6254411539051711,0.6288247566063978,0.39414523693999676,0.53731049419177
ddti_57c3f20a3d,ddti,0.38509174311926603,0.7020174482006543,0.6554736024844721,0.8503747323340471,0.8503747323340471,0.8503747323340471
ddti_91d165a82a,ddti,0.6994313566206336,0.8165438165438166,0.7684865238424327,0.8354011579818031,0.7684865238424327,0.8354011579818031
ddti_33e18d0483,ddti,0.860796086279742,0.8116518483855872,0.7688734030197445,0.8314220183486238,0.860796086279742,0.8116518483855872
ddti_1f952975a3,ddti,0.5059019580613804,0.7679123711340207,0.6798347274009876,0.726088056680162,0.5059019580613804,0.7679123711340207
ddti_8afc9502ef,ddti,0.6924651303820497,0.8184651343981301,0.6917310313493866,0.8238062555152466,0.6917310313493866,0.8238062555152466
ddti_221272fd42,ddti,0.7622981599699586,0.8488081725312145,0.6594594594594595,0.8587896253602305,0.7622981599699586,0.8488081725312145
ddti_8de5d92d9d,ddti,0.0707440508237321,0.2936374549819928,0.6380753138075314,0.7580372250423012,0.0707440508237321,0.2936374549819928
ddti_2fdfab30c9,ddti,0.026295436968290797,0.15085158150851583,0.5876682429974536,0.7372742200328407,0.15085158150851583,0.15085158150851583
ddti_65ec60d09d,ddti,0.6449365958206823,0.7200504413619168,0.4660958111548253,0.6820033955857385,0.6449365958206823,0.7200504413619168
