uid,dataset,best_iou,best_conf,hit25,hit_lowconf,area_ratio,diag,contrast,w,h
busi_0e203e8363,busi,0.834549446952442,0.8336318731307983,1.0,1.0,0.11079972767143241,358.6377001933846,34.010871146461895,290,211
busi_8c1f838d6c,busi,0.8110452349582784,0.4039384424686432,1.0,1.0,0.02408394908215564,121.69634341261039,46.51060087041334,89,83
busi_cfd961e96d,busi,0.9022556390977443,0.6283560991287231,1.0,1.0,0.011520615440420772,90.13878188659973,69.05708700629995,75,50
busi_6d2d131466,busi,0.9193776520509194,0.770442008972168,1.0,1.0,0.011914423051198131,122.88612614937456,95.1989622107137,101,70
busi_873f42e663,busi,0.9556030389363722,0.816956639289856,1.0,1.0,0.07207267984438598,245.65219315121126,75.872897175253,216,117
busi_22d1a239ff,busi,0.9221552762954037,0.8351399302482605,1.0,1.0,0.11851287262872628,343.93022548185553,39.34967801543668,288,188
busi_888dc0e64a,busi,0.7571597736941362,0.01235339604318142,0.0,1.0,0.10935831231123173,286.8117849740488,39.457233072788014,231,170
busi_62445ce52f,busi,0.8385093167701864,0.48524248600006104,1.0,1.0,0.029922297270483282,259.61702563583924,-0.2091530185161048,240,99
busi_31157c7321,busi,0.7963636363636364,0.003052052576094866,0.0,1.0,0.06516422013651205,242.87033577610913,32.695426561209786,219,105
busi_31341a9960,busi,0.9019292604501608,0.8613919019699097,1.0,1.0,0.07325181209539092,291.82186347153635,56.27332677741412,218,194
busi_6e82f75987,busi,0.862895493767977,0.7053382992744446,1.0,1.0,0.028442146089204912,201.1889659002203,76.27588752385361,171,106
busi_f5cba98f1d,busi,0.9183722711202963,0.8503217101097107,1.0,1.0,0.4488287912011416,618.5208161412193,19.85388814475843,518,338
busi_70e63630b2,busi,0.8918783542039356,0.8298492431640625,1.0,1.0,0.23478065310447613,391.0652119531984,83.03471419159203,304,246
busi_d6ece3a2e2,busi,0.9126171192631412,0.8797591328620911,1.0,1.0,0.04794937045212983,222.75098204048393,53.2200170610745,183,127
busi_21ebb876bc,busi,0.8596196868008948,0.3702854514122009,1.0,1.0,0.015354167942671648,104.5609869884557,62.22668823734283,87,58
busi_7a078fba05,busi,0.7998984900393351,0.7474655508995056,1.0,1.0,0.020238160391126678,207.13522153414664,87.67502620885323,197,64
busi_a262591d26,busi,0.8772012430549015,0.7150429487228394,1.0,1.0,0.015632776533532414,143.60013927569847,101.04121200277152,115,86
busi_b7e3e20601,busi,0.9713307659392384,0.8840605020523071,1.0,1.0,0.11089516275686488,366.54194848611803,103.92690814001406,287,228
busi_1e01f78c06,busi,0.882761840535353,0.0022511424031108618,0.0,1.0,0.07718699036893444,325.53033652794943,40.73397356351825,303,119
busi_a0d580339e,busi,0.6827732844159092,0.08243197202682495,0.0,1.0,0.06234366811991162,218.0022935659164,20.317431462109333,175,130
busi_c9ddf3ff26,busi,0.8855964777412817,0.8454387187957764,1.0,1.0,0.1952666609976886,404.75424642614934,52.82789566761238,349,205
busi_086f5ac9a7,busi,0.7586885245901639,0.0026981118135154247,0.0,1.0,0.31213351899125863,489.71828636472213,46.819140517720975,360,332
busi_55fa62f005,busi,0.6657034020753974,0.001946520758792758,0.0,1.0,0.04694536947426978,222.87440409342656,44.05254210785755,203,92
busi_f8c677f4cb,busi,0.7235621521335807,0.7728877067565918,1.0,1.0,0.016182605273514363,104.06248123122954,37.91477655910931,77,70
busi_60618b0cf0,busi,0.666337711835568,0.005310572683811188,0.0,1.0,0.07860488135717493,300.5278689239985,27.544521405915916,214,211
busi_93193f654b,busi,0.7833169370152601,0.8399274349212646,1.0,1.0,0.22502945919126768,456.4263357870578,58.85289767825938,401,218
busi_7dcb196d66,busi,0.8963251615449119,0.8239614367485046,1.0,1.0,0.37796340056053196,660.1492255543438,58.850089714780445,554,359
busi_9289e3083c,busi,0.8591276049815383,0.08223120123147964,0.0,1.0,0.035496972382218286,174.41330224498358,35.66006376109374,132,114
busi_6ecd547c0d,busi,0.886964217979517,0.8039714694023132,1.0,1.0,0.09096251795742458,354.6505322144604,45.91786623622659,316,161
busi_074ac11fc4,busi,0.42974513749161636,0.016277095302939415,0.0,0.0,0.057990194371244044,253.16002844051033,23.034514140909025,233,99
busi_a3204ccbe7,busi,0.784381603201007,0.8127396106719971,1.0,1.0,0.1822947389946753,414.42128323723915,51.25252827321662,329,252
busi_e760baac79,busi,0.7864179417312932,0.6492224931716919,1.0,1.0,0.021398455006486614,167.96725871431016,52.817723557731725,158,57
busi_d7a8d6043b,busi,0.7914317925591883,0.7091717720031738,1.0,1.0,0.1357674504721348,357.34157328807964,51.67953127551817,243,262
busi_bd0084d2eb,busi,0.7773049645390071,0.13175100088119507,0.0,1.0,0.060393808049535605,207.32824216685964,26.96893333239089,152,141
busi_1b904e1d39,busi,0.7965717568947907,0.7982651591300964,1.0,1.0,0.03792376362341859,223.48601745970598,56.77799622950634,155,161
busi_0cc200cd76,busi,0.8166402893963374,0.12800492346286774,0.0,1.0,0.09900507535043312,336.51448705813544,11.837227944650976,291,169
busi_bad20acd54,busi,0.8638270896851511,0.6008074283599854,1.0,1.0,0.03455915370189387,256.28499761008254,60.461688794870085,201,159
busi_1cd1fff51b,busi,0.7418351477449455,0.745593786239624,1.0,1.0,0.05763906490670514,205.38013535880242,44.91099151621739,159,130
busi_daf74cbea5,busi,0.9044177408783046,0.017361080273985863,0.0,1.0,0.20096169875802283,478.2677074609993,36.07983316370272,392,274
busi_d083e06533,busi,0.8288914638856701,0.7340284585952759,1.0,1.0,0.05568074871902123,264.09278672466615,48.61164380510817,207,164
busi_1f6bafb28c,busi,0.8197024823244052,0.09414015710353851,0.0,1.0,0.16474152772147432,531.8138772164563,29.937968494417234,449,285
busi_ff6b3c8040,busi,0.7854399824445908,0.8007171154022217,1.0,1.0,0.05210443226498272,274.4321409747772,42.858899657052525,217,168
busi_e0e8a1f5f7,busi,0.9421114382485113,0.8669717311859131,1.0,1.0,0.10910948456628052,301.5592810709032,67.01576300888269,247,173
busi_e77460c93f,busi,0.9038642565208584,0.5887734293937683,1.0,1.0,0.18171583056279073,438.32065887886233,15.179929315089637,389,202
ddti_98ad2517b3,ddti,0.6391752577319587,0.009254432283341885,0.0,1.0,0.135650634765625,187.9680823969857,-3.3237956095331924,176,66
ddti_56e6cc05a6,ddti,0.7826658871674949,0.7454971671104431,1.0,1.0,0.073974609375,118.07201192492656,13.656592914393478,105,54
ddti_c835c6acf9,ddti,0.7469179111957502,0.16915066540241241,0.0,1.0,0.209716796875,220.0295434708712,-4.6297883169555405,197,98
ddti_d02b6359c9,ddti,0.8962912087912088,0.8477944135665894,1.0,1.0,0.1227264404296875,154.01298646542764,29.06081941915148,122,94
ddti_c066535241,ddti,0.8060363022372309,0.8620997071266174,1.0,1.0,0.2329559326171875,195.38935487891862,5.043288405256106,151,124
ddti_d9658bd3e1,ddti,0.6727092479818723,0.6173409819602966,1.0,1.0,0.0647430419921875,117.18361660232202,-6.82007300670324,104,54
ddti_b8dcef923d,ddti,0.8455442252272224,0.4153239130973816,1.0,1.0,0.1852874755859375,226.10838109190027,-0.19487672910706522,214,73
ddti_22ffb08a0b,ddti,0.8254242162784009,0.6152966618537903,1.0,1.0,0.1208343505859375,167.5857989210303,9.679438761582091,142,89
ddti_a517b62f3e,ddti,0.8584863412449619,0.8215125799179077,1.0,1.0,0.28253173828125,246.5461417260469,10.672096336275828,224,103
ddti_1b0bfd8a9f,ddti,0.7198297699868275,0.744836151599884,1.0,1.0,0.1087493896484375,156.0833110873805,21.86109694772395,139,71
ddti_cfa286754f,ddti,0.7806451612903226,0.8018043041229248,1.0,1.0,0.0251617431640625,66.48308055437865,13.606835231228814,48,46
ddti_9a98bb878f,ddti,0.8221706107588977,0.7141604423522949,1.0,1.0,0.140289306640625,199.90497742677644,27.79719863050385,179,89
ddti_ade13232ad,ddti,0.8287153652392947,0.848707914352417,1.0,1.0,0.0225677490234375,63.60031446463138,40.052435905731556,51,38
ddti_7c4903c6a3,ddti,0.5648720211827007,0.5652608871459961,1.0,1.0,0.1164093017578125,142.86357128393507,18.11796723909282,103,99
ddti_8c5641ea57,ddti,0.8475616955957019,0.8225053548812866,1.0,1.0,0.2677154541015625,238.41560351621283,-5.193155382797542,211,111
ddti_54dd2b4e84,ddti,0.7430819316332067,0.7507346272468567,1.0,1.0,0.131072998046875,149.68299836654796,-0.1707402191903924,114,97
ddti_6410446b09,ddti,0.963152709359606,0.8323671817779541,1.0,1.0,0.177642822265625,175.2055935180153,57.481702516318556,141,104
ddti_3ab69060ab,ddti,0.7592358477314229,0.3577476143836975,1.0,1.0,0.0662841796875,134.46189051177288,-6.223983646962708,124,52
ddti_57c3f20a3d,ddti,0.9296875,0.4889383614063263,1.0,1.0,0.0517730712890625,104.31682510506155,-1.6007957559681643,91,51
ddti_7506b6edef,ddti,0.5139720558882236,0.0010775303235277534,0.0,1.0,0.040740966796875,110.67971810589327,-20.84220165016157,105,35
ddti_91d165a82a,ddti,0.8158995815899581,0.767429530620575,1.0,1.0,0.01763916015625,57.38466694161429,21.570079883805377,38,43
ddti_33e18d0483,ddti,0.8592287532759266,0.8141876459121704,1.0,1.0,0.061279296875,105.47511554864494,24.190130314322232,90,55
ddti_1f952975a3,ddti,0.844643346424331,0.7279382348060608,1.0,1.0,0.1071014404296875,157.2800050864699,8.2280383087176,136,79
ddti_8afc9502ef,ddti,0.899537037037037,0.8187057375907898,1.0,1.0,0.1393890380859375,186.45374761586316,18.7314789768364,174,67
ddti_221272fd42,ddti,0.854746835443038,0.7305533289909363,1.0,1.0,0.065155029296875,103.9471019317037,27.492772807352956,74,73
ddti_8de5d92d9d,ddti,0.8182586644125106,0.8346738815307617,1.0,1.0,0.1163482666015625,145.0551619212498,-27.82150122773872,121,80
ddti_2fdfab30c9,ddti,0.7707652622527945,0.33469220995903015,1.0,1.0,0.0495452880859375,104.5609869884557,-7.733619339269836,87,58
