uid,dataset,rough_box_dice,rough_otsu_dice,cover_otsu,cover_box,ref_box_dice,ref_otsu_dice
ddti_7ddf6c0f99,ddti,0.7886065899166336,0.22338665195808052,0.15290712308079538,1.0,0.8801976121860848,0.5342205323193916
ddti_7fdea6c059,ddti,0.6012094557449148,0.059904558838460756,0.05265036587542388,0.9759057647688738,0.7089085699400886,0.3923799205489346
ddti_a24384ffc8,ddti,0.7800547153254529,0.6017252261729434,0.5677607199576495,1.0,0.9087637454181939,0.8290298147765613
ddti_2678dc79df,ddti,0.8287631271878646,0.15396272162448857,0.08940513903555086,1.0,0.9340213785477331,0.4294045842940458
ddti_3cb770272f,ddti,0.8443836864889497,0.8350991578375442,0.80429094714809,0.9696493982208267,0.8849729429721105,0.9218307006885379
ddti_12d95b37a4,ddti,0.7839056538328131,0.8523517382413088,0.8951890034364262,0.9707903780068728,0.8729139922978177,0.8862422997946612
ddti_b1ee2d97ca,ddti,0.8418024928092043,0.8267792058315749,0.9244959244959245,0.9416559416559417,0.8679511278195489,0.8706218727662616
ddti_be9223a0e9,ddti,0.7272727272727273,0.6068427370948379,0.6244595429277332,0.9981470043236566,0.8272278513899715,0.7313054499366286
ddti_2a1acce5a7,ddti,0.8209817131857555,0.1541799247902806,0.09740497076023392,0.9353070175438597,0.8378059071729957,0.43263654753877273
ddti_e045a21668,ddti,0.8861957525392429,0.6988391618602614,0.6108487555839183,0.9799617102744097,0.898695318495779,0.8488427339985067
ddti_a76252d2b4,ddti,0.7384117858426159,0.7227008967821347,0.9684260131950989,0.9684260131950989,0.8293553424046397,0.8262476894639557
ddti_187f4dab10,ddti,0.8687436159346271,0.7737412364563416,0.6677667766776678,0.9356435643564357,0.7959582790091264,0.8130505709624796
ddti_4016772991,ddti,0.5699698305871432,0.5758499413833529,1.0,1.0,0.7642757118406721,0.7603843769373838
ddti_dc43010854,ddti,0.5529259896729777,0.19947326233825718,0.22594033722438392,1.0,0.6627365218218123,0.5365853658536586
ddti_787c8b3c4b,ddti,0.8424812685136783,0.8432159051273108,0.9710785298252661,0.9710785298252661,0.8868041237113402,0.8937252110241025
ddti_233bdfbf21,ddti,0.8482653450247808,0.8674463937621832,0.8,1.0,0.9574420175636118,0.9534033805390589
ddti_ac743820ef,ddti,0.7857385398981325,0.7829301075268817,0.9965782720273738,0.9897348160821214,0.855526544821584,0.8372093023255814
ddti_7599103e43,ddti,0.832383834787253,0.7166752297767882,0.6712651053363277,1.0,0.8898674197099506,0.8019271948608137
ddti_6c5aa6a01f,ddti,0.832383834787253,0.7166752297767882,0.6712651053363277,1.0,0.8898674197099506,0.8019271948608137
ddti_a94de71ed0,ddti,0.579607467687889,0.21107067611568664,0.18202841096795508,1.0,0.6819484240687679,0.6310013717421125
ddti_e217109e28,ddti,0.542664496628691,0.5934179839336615,0.9811482433590403,1.0,0.7454667562122229,0.7068511198945981
ddti_27df9b9068,ddti,0.6713634479900539,0.657905544147844,0.9792176039119804,0.9902200488997555,0.8309022150189087,0.828819068255688
ddti_f242f7bf6e,ddti,0.7235426330639376,0.7309152053807351,0.9851074851074851,0.9796684796684797,0.7721382900469643,0.7733165800445485
ddti_90696b2b43,ddti,0.7619047619047619,0.7502726281352236,0.900523560209424,0.900523560209424,0.80351048269137,0.8172348484848485
ddti_ba1514aeb9,ddti,0.8311079400672714,0.5095711529900578,0.4150852169708691,0.9856158588178412,0.9127166929324767,0.596535632365736
ddti_c8fbd8e3a2,ddti,0.8159110694435143,0.8754774029280713,0.8647437912606099,0.9575605155611443,0.9014003531682477,0.9326238419722839
ddti_e33a37bf51,ddti,0.7809924601087147,0.5784313725490197,0.46533831465338316,0.9244499792444998,0.8399430547081553,0.6177150192554557
ddti_33e5e1f317,ddti,0.8016405667412378,0.49490489130434784,0.3935710426796326,0.9679452548172159,0.8973707237801575,0.7244492208490059
ddti_cd5c4e3c0d,ddti,0.8268590455049944,0.8296943231441049,0.8704188481675392,0.975130890052356,0.8962597035991532,0.8179012345679012
ddti_939c619c88,ddti,0.7658385364362748,0.7325825328475213,0.7480270574971815,0.9887260428410372,0.892809693362385,0.8826296156133427
ddti_a0e522ad71,ddti,0.901743478848493,0.4474866757236911,0.3197431302270012,0.996415770609319,0.8787391444194275,0.6773338568764111
ddti_37e3d077d2,ddti,0.9033726578764747,0.6890566888312859,0.5523700536047702,0.9800638438836354,0.8703136694563517,0.8165140882698678
ddti_4c301e1cf4,ddti,0.7421736869474779,0.6599505125486037,0.5164591977869987,0.9869986168741356,0.7831831831831831,0.7970319987633329
ddti_1113200ee2,ddti,0.6158618015767027,0.5114060555785981,0.5174874090654729,1.0,0.7322817151744057,0.7534877927254608
ddti_9c9f67679d,ddti,0.7541478129713424,0.7633587786259542,0.981491867638811,0.981491867638811,0.841952353282975,0.8411269241940168
ddti_6ec5864d97,ddti,0.7163350300786673,0.7147105925417525,0.9961734693877551,0.9872448979591837,0.9227883713660519,0.9094993581514762
ddti_06d0f20618,ddti,0.8072390572390572,0.5243352511273519,0.43952033368091764,1.0,0.902587890625,0.5802035152636448
ddti_1ab2f73c47,ddti,0.6566753838932475,0.0465180102915952,0.034423233143785543,0.9944151096669375,0.786384303444886,0.4050320670942279
ddti_0021c0606c,ddti,0.8,0.587025877348458,0.4730077120822622,0.9905741216795202,0.8991208463716287,0.7677870670534038
ddti_7e1535d854,ddti,0.7853844609516162,0.3665101362959569,0.27266530334015,1.0,0.8629433962264151,0.6515769148251448
ddti_7d9bfb7978,ddti,0.7604301075268817,0.7623975851660199,1.0,1.0,0.8826196473551637,0.8799598191863385
