uid,dataset,stage,dice
tn3k_ac9d77257a,tn3k,otsu_iou50,0.9132025274359827
tn3k_d86e698727,tn3k,otsu_iou50,0.8269662921348314
tn3k_a1e4c6f7e2,tn3k,otsu_low_iou,0.3534109816971714
tn3k_a1e4c6f7e2,tn3k,det_miss,0.0
tn3k_5d04fafee6,tn3k,otsu_iou50,0.8768974012556624
tn3k_c4622243ee,tn3k,otsu_low_iou,0.5492303933545077
tn3k_0b771d1854,tn3k,otsu_iou50,0.8648773006134969
tn3k_3058f724ee,tn3k,otsu_low_iou,0.563989732306564
tn3k_2d486a7f96,tn3k,otsu_low_iou,0.4516413793103448
tn3k_00fcf093a4,tn3k,otsu_iou50,0.9207670956346202
tn3k_ad2c151812,tn3k,otsu_iou50,0.8349530115335326
tn3k_6597c33f5c,tn3k,otsu_iou50,0.8229235152312075
tn3k_e5b4ab155f,tn3k,otsu_iou50,0.8681147003981253
tn3k_2faa8d2572,tn3k,otsu_iou50,0.9321070388686047
tn3k_e1c42214a5,tn3k,det_miss,0.0
tn3k_5171952d76,tn3k,otsu_low_iou,0.09846258195794709
tn3k_a5d635abe5,tn3k,det_miss,0.0
tn3k_244b4caecd,tn3k,otsu_iou50,0.7903097696584591
tn3k_808a8c04b4,tn3k,otsu_iou50,0.8274785323965652
tn3k_255c51cbfa,tn3k,otsu_iou50,0.742032143830019
tn3k_ac9f3a9d04,tn3k,det_miss,0.0
tn3k_baa30cfc65,tn3k,otsu_iou50,0.8826657213753988
tn3k_e3b71af23d,tn3k,otsu_low_iou,0.6266552755232806
tn3k_49c3d9e0ef,tn3k,det_miss,0.0
tn3k_17a376ef7a,tn3k,otsu_iou50,0.8634177484571185
tn3k_3b73966134,tn3k,otsu_iou50,0.6872384937238494
tn3k_9d5c35580d,tn3k,otsu_low_iou,0.5954287620954287
tn3k_66d130eff3,tn3k,otsu_iou50,0.8501450209474702
tn3k_66d130eff3,tn3k,otsu_iou50,0.7987692307692308
tn3k_517fb8dd10,tn3k,otsu_iou50,0.7352413498504913
tn3k_2d1c388312,tn3k,otsu_low_iou,0.46912181303116146
tn3k_2d2b5a5360,tn3k,otsu_iou50,0.7504937458854509
tn3k_91888c0ca2,tn3k,otsu_iou50,0.8230827638572513
tn3k_4d219a66dc,tn3k,det_miss,0.0
tn3k_4d219a66dc,tn3k,otsu_iou50,0.841237670585056
tn3k_2147053287,tn3k,otsu_iou50,0.7837434750186428
tn3k_06b83e3ad9,tn3k,det_miss,0.0
tn3k_06b83e3ad9,tn3k,otsu_iou50,0.7436823104693141
tn3k_aa6051fafc,tn3k,otsu_iou50,0.8964772838779315
tn3k_022b174b12,tn3k,otsu_low_iou,0.6129263399254801
tn3k_0bb62bcc82,tn3k,otsu_iou50,0.7507552870090635
tn3k_4c7ff2a789,tn3k,otsu_iou50,0.8439306358381503
tn3k_96e2023c6f,tn3k,otsu_iou50,0.7247899159663865
tn3k_777ac21d90,tn3k,otsu_low_iou,0.5640439158279963
tn3k_5696e50027,tn3k,otsu_iou50,0.775975975975976
tn3k_c348f31a7c,tn3k,otsu_iou50,0.8774689739556022
tn3k_c348f31a7c,tn3k,otsu_iou50,0.9451909476661952
tn3k_5c10a50bcc,tn3k,otsu_low_iou,0.5130338325013866
tn3k_0a5da3998e,tn3k,otsu_iou50,0.9239452679589509
tn3k_120764bb3d,tn3k,otsu_low_iou,0.615784287377945
tn3k_9215f94b5b,tn3k,det_miss,0.0
tn3k_726b72c489,tn3k,otsu_iou50,0.7722830915013326
tn3k_df845d2565,tn3k,otsu_low_iou,0.5814432989690722
tn3k_e70e3dbb4b,tn3k,otsu_low_iou,0.5468531012678857
tn3k_a7c4e64d87,tn3k,otsu_iou50,0.8158403090792016
tn3k_29b296a0c1,tn3k,det_miss,0.0
tn3k_cff6e24402,tn3k,otsu_iou50,0.8070588235294117
tn3k_cff6e24402,tn3k,otsu_iou50,0.8213866039952996
tn3k_419443b4aa,tn3k,otsu_iou50,0.8152350081037277
tn3k_a48f5a3bd5,tn3k,otsu_iou50,0.7302291204730229
tn3k_7e1390b927,tn3k,otsu_iou50,0.895390444117028
