method,uid,dataset,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,n_miss,n_fp
SAM_edgesam,busi_16e7d3f1d9,busi,0.8027316927909851,1,1,0.8905725520283878,0.802731673582296,18.110770276274835,6.920946600850965,0.30592865660568747,0.08344821248047055,,
SAM_edgesam__detstats,busi_16e7d3f1d9,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_16e7d3f1d9,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_16e7d3f1d9,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_f0ca639c01,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_box__detstats,busi_f0ca639c01,busi,,1,1,,,,,,,1.0,1.0
B_seg,busi_f0ca639c01,busi,0.0,1,2,0.0,0.0,,,0.0,,,
B_seg__detstats,busi_f0ca639c01,busi,,1,2,,,,,,,1.0,2.0
SAM_edgesam,busi_f0ca639c01,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_f0ca639c01,busi,,1,1,,,,,,,1.0,1.0
SAM_efficientvit-t,busi_f0ca639c01,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_f0ca639c01,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_22c13c0f43,busi,0.0,1,0,0.0,0.0,,,0.0,,,
A_box__detstats,busi_22c13c0f43,busi,,1,0,,,,,,,1.0,0.0
B_seg,busi_22c13c0f43,busi,0.0,1,1,0.0,0.0,,,0.0,,,
B_seg__detstats,busi_22c13c0f43,busi,,1,1,,,,,,,1.0,1.0
SAM_edgesam,busi_22c13c0f43,busi,0.0,1,0,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_22c13c0f43,busi,,1,0,,,,,,,1.0,0.0
SAM_efficientvit-t,busi_22c13c0f43,busi,0.0,1,0,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_22c13c0f43,busi,,1,0,,,,,,,1.0,0.0
A_box,busi_6b1c7c6449,busi,0.7790075540542603,1,1,0.8757776856076317,0.779007563180225,8.94427190999916,3.4419315434730535,0.3607922290904504,0.11769872639437857,,
A_box__detstats,busi_6b1c7c6449,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_6b1c7c6449,busi,0.8468809127807617,1,1,0.917093142272262,0.8468809073724007,4.123105625617661,2.30950671194658,0.4972982100641675,0.1453667105841019,,
B_seg__detstats,busi_6b1c7c6449,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_6b1c7c6449,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_6b1c7c6449,busi,,1,1,,,,,,,1.0,1.0
SAM_efficientvit-t,busi_6b1c7c6449,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_6b1c7c6449,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_b83f3d49c5,busi,0.8541578054428101,1,1,0.921343146274149,0.8541577825159915,6.751973342624457,3.1440259681576057,0.39837852949398933,0.03198551599275799,,
A_box__detstats,busi_b83f3d49c5,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_b83f3d49c5,busi,0.888672411441803,1,1,0.9410551134689066,0.8886724185917061,5.830951894845301,2.4287798802384315,0.5407003415056832,0.04767652383826192,,
B_seg__detstats,busi_b83f3d49c5,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_b83f3d49c5,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_b83f3d49c5,busi,,1,1,,,,,,,1.0,1.0
SAM_efficientvit-t,busi_b83f3d49c5,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_b83f3d49c5,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_929cf0f851,busi,0.8563685417175293,1,3,0.9226277372262773,0.8563685636856369,3.0,1.084919835832207,0.8734157886700259,0.028627838104639685,,
A_box__detstats,busi_929cf0f851,busi,,1,3,,,,,,,0.0,2.0
B_seg,busi_929cf0f851,busi,0.8312757015228271,1,2,0.9078651685393259,0.831275720164609,3.0,1.392304846295889,0.7969547258443347,0.1964461994076999,,
B_seg__detstats,busi_929cf0f851,busi,,1,2,,,,,,,0.0,1.0
SAM_edgesam,busi_929cf0f851,busi,0.8159688115119934,1,3,0.8986595174262735,0.815968841285297,5.0,1.4427913140628215,0.7928378097022694,0.15893385982230998,,
SAM_edgesam__detstats,busi_929cf0f851,busi,,1,3,,,,,,,0.0,2.0
SAM_efficientvit-t,busi_929cf0f851,busi,0.0,1,3,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_929cf0f851,busi,,1,3,,,,,,,1.0,3.0
A_box,busi_b0824ba0e4,busi,0.0,1,0,0.0,0.0,,,0.0,,,
A_box__detstats,busi_b0824ba0e4,busi,,1,0,,,,,,,1.0,0.0
B_seg,busi_b0824ba0e4,busi,0.0,1,1,0.0,0.0,,,0.0,,,
B_seg__detstats,busi_b0824ba0e4,busi,,1,1,,,,,,,1.0,1.0
SAM_edgesam,busi_b0824ba0e4,busi,0.0,1,0,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_b0824ba0e4,busi,,1,0,,,,,,,1.0,0.0
SAM_efficientvit-t,busi_b0824ba0e4,busi,0.0,1,0,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_b0824ba0e4,busi,,1,0,,,,,,,1.0,0.0
A_box,busi_cb24e22b98,busi,0.8568885326385498,1,1,0.9229294274300932,0.8568885372366729,7.211102550927978,3.4071968194948425,0.28239827926151634,0.052136845556891465,,
A_box__detstats,busi_cb24e22b98,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_cb24e22b98,busi,0.9332131743431091,1,1,0.9654529502083791,0.93321318774515,4.123105625617661,1.478255059447763,0.7723046099574097,0.006776696906765767,,
B_seg__detstats,busi_cb24e22b98,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_cb24e22b98,busi,0.0,1,1,0.0,0.0,,,0.0,,,
