method,uid,dataset,modality,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,pred_pt_err,n_miss,n_fp,rough_pt_err
rough_otsu_gtbox__detstats,busi_5f2389aed3,busi,breast,,1,1,,,,,,,,0.0,0.0,
yolo26n_seg,busi_7432afad2c,busi,breast,0.9091380834579468,1,1,0.9524068238617842,0.9091380562182346,5.0,2.0450016869283654,0.6346516562536838,0.03426171529619806,1.968354344367981,,,
yolo26n_seg__detstats,busi_7432afad2c,busi,breast,,1,1,,,,,,,,0.0,0.0,
seg_refiner,busi_7432afad2c,busi,breast,0.8885819315910339,1,1,0.9410043881033642,0.8885819521178637,6.1190314488039945,2.590615017002115,0.5584324702589223,0.04011936339522546,2.5724072456359863,,,2.219268321990967
seg_refiner__detstats,busi_7432afad2c,busi,breast,,1,1,,,,,,,,0.0,0.0,
refiner,busi_7432afad2c,busi,breast,0.8341315984725952,1,1,0.9095657110417258,0.8341316118284048,14.142135623730951,3.9985767435663218,0.4218846525478766,0.05316091954022988,3.620950222015381,,,4.964037895202637
refiner__detstats,busi_7432afad2c,busi,breast,,1,1,,,,,,,,0.0,0.0,
rough_otsu,busi_7432afad2c,busi,breast,0.850250244140625,1,1,0.9190651374161437,0.8502502502502503,14.7648230602334,3.6355813018086414,0.5194098666363206,0.04288240495137047,4.963623523712158,,,4.963623523712158
rough_otsu__detstats,busi_7432afad2c,busi,breast,,1,1,,,,,,,,0.0,0.0,
refiner_box,busi_7432afad2c,busi,breast,0.8822672963142395,1,1,0.9374516521162559,0.8822672906916277,8.0,2.7670602680058964,0.5222101841820151,0.00022104332449160034,2.801037311553955,,,9.179509162902832
refiner_box__detstats,busi_7432afad2c,busi,breast,,1,1,,,,,,,,0.0,0.0,
refiner_gtbox,busi_7432afad2c,busi,breast,0.8735125064849854,1,1,0.932486448009637,0.8735125153877719,7.790802018902375,2.9430054964001027,0.4703843614758307,0.01845711759504863,3.328400135040283,,,5.71183967590332
refiner_gtbox__detstats,busi_7432afad2c,busi,breast,,1,1,,,,,,,,0.0,0.0,
rough_otsu_gtbox,busi_7432afad2c,busi,breast,0.8354527354240417,1,1,0.9103505756107725,0.8354527201453293,17.46424919657298,3.967961948753934,0.5052758474472328,0.12168435013262599,5.777342796325684,,,5.777342796325684
rough_otsu_gtbox__detstats,busi_7432afad2c,busi,breast,,1,1,,,,,,,,0.0,0.0,
yolo26n_seg,busi_98197bf517,busi,breast,0.0,1,2,0.0,0.0,,,0.0,,,,,
yolo26n_seg__detstats,busi_98197bf517,busi,breast,,1,2,,,,,,,,1.0,2.0,
seg_refiner,busi_98197bf517,busi,breast,0.0,1,2,0.0,0.0,,,0.0,,,,,
seg_refiner__detstats,busi_98197bf517,busi,breast,,1,2,,,,,,,,1.0,2.0,
refiner,busi_98197bf517,busi,breast,0.9175401926040649,1,4,0.956997084548105,0.9175401816911251,3.1622776601683795,1.111967816742037,0.8519818924588716,0.04139900071377588,1.1779377460479736,,,3.021883964538574
refiner__detstats,busi_98197bf517,busi,breast,,1,4,,,,,,,,0.0,3.0,
rough_otsu,busi_98197bf517,busi,breast,0.7869378924369812,1,4,0.8807669263031755,0.7869379014989293,8.636519931338269,3.074784761016795,0.5193621867881548,0.21306209850107066,3.0185372829437256,,,3.0185372829437256
rough_otsu__detstats,busi_98197bf517,busi,breast,,1,4,,,,,,,,0.0,3.0,
refiner_box,busi_98197bf517,busi,breast,0.9016736149787903,1,4,0.9482948294829483,0.9016736401673641,4.036931687685293,1.3378727460066635,0.7559894202880032,0.05353319057815846,1.3837549686431885,,,4.633356094360352
refiner_box__detstats,busi_98197bf517,busi,breast,,1,4,,,,,,,,0.0,3.0,
refiner_gtbox,busi_98197bf517,busi,breast,0.9040616154670715,1,1,0.9496138286134609,0.90406162464986,4.123105625617661,1.3114072355926631,0.746062015098874,0.05924339757316203,1.3745577335357666,,,3.015169143676758
refiner_gtbox__detstats,busi_98197bf517,busi,breast,,1,1,,,,,,,,0.0,0.0,
rough_otsu_gtbox,busi_98197bf517,busi,breast,0.8351714015007019,1,1,0.9101835309403931,0.8351713859910581,8.06225774829855,2.6795614226810374,0.5673450835816373,0.19735902926481086,3.0154218673706055,,,3.0154218673706055
rough_otsu_gtbox__detstats,busi_98197bf517,busi,breast,,1,1,,,,,,,,0.0,0.0,
yolo26n_seg,busi_4e9b7d897c,busi,breast,0.8681267499923706,1,1,0.9294088301322025,0.8681267474370923,3.0,1.4600193182701262,0.7981605766840665,0.053883495145631066,1.656372308731079,,,
yolo26n_seg__detstats,busi_4e9b7d897c,busi,breast,,1,1,,,,,,,,0.0,0.0,
seg_refiner,busi_4e9b7d897c,busi,breast,0.8637226819992065,1,1,0.9268789808917197,0.8637226970560304,3.0,1.5102357900215457,0.7196029776674938,0.09466019417475728,1.6098041534423828,,,1.6480563879013062
seg_refiner__detstats,busi_4e9b7d897c,busi,breast,,1,1,,,,,,,,0.0,0.0,
refiner,busi_4e9b7d897c,busi,breast,0.8950850367546082,1,1,0.944638403990025,0.8950850661625709,3.0,1.1348324312147764,0.8452313883299799,0.05339805825242718,1.2699143886566162,,,2.145186185836792
