method,uid,dataset,modality,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,pred_pt_err,n_miss,n_fp,rough_pt_err,eval
rough_otsu,busi_25d8683937,busi,breast,0.8416098952293396,1,1,0.913993655269651,0.8416098669263227,6.0,2.0588733183130223,0.6762988297154557,0.004946996466431,2.487927198410034,,,2.487927198410034,v2_eval_A1
refiner_gtbox,busi_25d8683937,busi,breast,0.8956550359725952,1,1,0.9449557214794236,0.8956550362080316,3.1622776601683795,1.3725202463142785,0.7817725028155592,0.034982332155477,1.5710744857788086,,,1.893931031227112,v2_eval_A1
rough_otsu_gtbox,busi_25d8683937,busi,breast,0.8764845728874207,1,1,0.9341772151898734,0.8764845605700713,5.656854249492381,1.6128921923655084,0.7355503660124849,0.0459363957597173,1.9031338691711424,,,1.9031338691711424,v2_eval_A1
yolo26n_seg,busi_a2e0eb1c41,busi,breast,0.6872727274894714,1,1,0.8146551724137931,0.6872727272727273,9.0,4.584911547638304,0.270661332879394,0.455026455026455,5.887896060943604,,,,v2_eval_A1
refiner,busi_a2e0eb1c41,busi,breast,0.7931760549545288,1,1,0.8846605590791637,0.7931760741364785,5.0,2.679033453111977,0.407673860911271,0.2523809523809524,2.7969789505004883,,,2.512674331665039,v2_eval_A1
rough_otsu,busi_a2e0eb1c41,busi,breast,0.8054298758506775,1,1,0.8922305764411027,0.8054298642533937,5.656854249492381,2.37825846716317,0.5020755393840004,0.1111111111111111,2.545912742614746,,,2.545912742614746,v2_eval_A1
refiner_gtbox,busi_a2e0eb1c41,busi,breast,0.8839412331581116,1,1,0.9383957757103344,0.8839412600663192,3.1622776601683795,1.3211537002209308,0.7916852928028609,0.1042328042328042,1.435554027557373,,,2.0977349281311035,v2_eval_A1
rough_otsu_gtbox,busi_a2e0eb1c41,busi,breast,0.835418701171875,1,1,0.9103303618248558,0.8354186717998076,4.47213595499958,2.0045904676732174,0.5783645243967309,0.0179894179894179,2.0840535163879395,,,2.0840535163879395,v2_eval_A1
yolo26n_seg,busi_0d51c07bd5,busi,breast,0.7460142374038696,1,2,0.8545339608063497,0.7460142261466765,60.09999999999991,8.605520487812289,0.4006522847589531,0.1346871929249918,3.439414024353028,,,,v2_eval_A1
refiner,busi_0d51c07bd5,busi,breast,0.7052296996116638,1,1,0.8271374810959097,0.7052296989324697,61.68468205316454,10.188925242021256,0.2641422909364866,0.137373075663282,4.949922561645508,,,3.8505215644836426,v2_eval_A1
rough_otsu,busi_0d51c07bd5,busi,breast,0.7111772894859314,1,1,0.8312140478353013,0.7111773086387774,63.00634760745554,9.265760038168958,0.3838910056575453,0.2689813298395021,3.859712600708008,,,3.859712600708008,v2_eval_A1
refiner_gtbox,busi_0d51c07bd5,busi,breast,0.7775483727455139,1,1,0.8748548290906808,0.7775484014952854,13.152946437965904,5.644504424566429,0.292512608302082,0.0870619063216508,5.947744369506836,,,5.057635307312012,v2_eval_A1
rough_otsu_gtbox,busi_0d51c07bd5,busi,breast,0.8436062932014465,1,1,0.9151696943143136,0.8436063129116441,9.219544457292889,3.6740109141081696,0.4525590196431789,0.0562725188339338,4.952139854431152,,,4.952139854431152,v2_eval_A1
